Date,number
2010-05-16,2.0
2010-05-23,1.0
2010-05-30,3.0
2010-06-06,
2010-06-13,2.0
2010-06-20,
2010-06-27,4.0
2010-07-04,
2010-07-11,2.0
2010-07-18,
2010-07-25,2.0
2010-08-01,3.0
2010-08-08,1.0
2010-08-15,1.0
2010-08-22,1.0
2010-08-29,2.0
2010-09-05,
2010-09-12,
2010-09-19,2.0
2010-09-26,
2010-10-03,3.0
2010-10-10,
2010-10-17,1.0
2010-10-24,5.0
2010-10-31,
2010-11-07,
2010-11-14,2.0
2010-11-21,
2010-11-28,2.0
2010-12-05,2.0
2010-12-12,4.0
2010-12-19,5.0
2010-12-26,
2011-01-02,
2011-01-09,2.0
2011-01-16,5.0
2011-01-23,
2011-01-30,
2011-02-06,
2011-02-13,
2011-02-20,
2011-02-27,1.0
2011-03-06,
2011-03-13,
2011-03-20,1.0
2011-03-27,
2011-04-03,2.0
2011-04-10,
2011-04-17,
2011-04-24,1.0
2011-05-01,
2011-05-08,
2011-05-15,
2011-05-22,
2011-05-29,4.0
2011-06-05,
2011-06-12,1.0
2011-06-19,
2011-06-26,3.0
2011-07-03,2.0
2011-07-10,2.0
2011-07-17,
2011-07-24,1.0
2011-07-31,2.0
2011-08-07,1.0
2011-08-14,
2011-08-21,
2011-08-28,2.0
2011-09-04,1.0
2011-09-11,
2011-09-18,2.0
2011-09-25,
2011-10-02,5.0
2011-10-09,
2011-10-16,
2011-10-23,5.0
2011-10-30,
2011-11-06,1.0
2011-11-13,2.0
2011-11-20,
2011-11-27,1.0
2011-12-04,2.0
2011-12-11,1.0
2011-12-18,4.0
2011-12-25,
2012-01-01,
2012-01-08,
2012-01-15,1.0
2012-01-22,
2012-01-29,5.0
2012-02-05,
2012-02-12,1.0
2012-02-19,
2012-02-26,1.0
2012-03-04,
2012-03-11,
2012-03-18,
2012-03-25,1.0
2012-04-01,1.0
2012-04-08,
2012-04-15,
2012-04-22,1.0
2012-04-29,
2012-05-06,
2012-05-13,
2012-05-20,
2012-05-27,1.0
2012-06-03,1.0
2012-06-10,
2012-06-17,1.0
2012-06-24,3.0
2012-07-01,1.0
2012-07-08,
2012-07-15,2.0
2012-07-22,1.0
2012-07-29,5.0
2012-08-05,
2012-08-12,
2012-08-19,
2012-08-26,1.0
2012-09-02,1.0
2012-09-09,
2012-09-16,
2012-09-23,1.0
2012-09-30,3.0
2012-10-07,1.0
2012-10-14,
2012-10-21,5.0
2012-10-28,
2012-11-04,1.0
2012-11-11,2.0
2012-11-18,
2012-11-25,2.0
2012-12-02,
2012-12-09,
2012-12-16,5.0
2012-12-23,
2012-12-30,
2013-01-06,
2013-01-13,
2013-01-20,
2013-01-27,6.0
2013-02-03,2.0
2013-02-10,
2013-02-17,
2013-02-24,1.0
2013-03-03,2.0
2013-03-10,
2013-03-17,
2013-03-24,1.0
2013-03-31,2.0
2013-04-07,
2013-04-14,
2013-04-21,
2013-04-28,
2013-05-05,
2013-05-12,
2013-05-19,
2013-05-26,3.0
2013-06-02,
2013-06-09,1.0
2013-06-16,
2013-06-23,1.0
2013-06-30,1.0
2013-07-07,
2013-07-14,1.0
2013-07-21,2.0
2013-07-28,1.0
2013-08-04,
2013-08-11,1.0
2013-08-18,1.0
2013-08-25,2.0
2013-09-01,
2013-09-08,
2013-09-15,
2013-09-22,1.0
2013-09-29,1.0
2013-10-06,
2013-10-13,1.0
2013-10-20,2.0
2013-10-27,2.0
2013-11-03,2.0
2013-11-10,2.0
2013-11-17,
2013-11-24,1.0
2013-12-01,1.0
2013-12-08,
2013-12-15,6.0
2013-12-22,
2013-12-29,
2014-01-05,
2014-01-12,
2014-01-19,
2014-01-26,2.0
2014-02-02,1.0
2014-02-09,
2014-02-16,
2014-02-23,
2014-03-02,2.0
2014-03-09,1.0
2014-03-16,1.0
2014-03-23,
2014-03-30,4.0
2014-04-06,2.0
2014-04-13,
2014-04-20,
2014-04-27,
2014-05-04,1.0
2014-05-11,
2014-05-18,
2014-05-25,1.0
2014-06-01,1.0
2014-06-08,1.0
2014-06-15,
2014-06-22,1.0
2014-06-29,1.0
2014-07-06,
2014-07-13,1.0
2014-07-20,4.0
2014-07-27,
2014-08-03,4.0
2014-08-10,
2014-08-17,
2014-08-24,1.0
2014-08-31,1.0
2014-09-07,
2014-09-14,2.0
2014-09-21,1.0
2014-09-28,1.0
2014-10-05,2.0
2014-10-12,
2014-10-19,2.0
2014-10-26,2.0
2014-11-02,1.0
2014-11-09,1.0
2014-11-16,2.0
2014-11-23,2.0
2014-11-30,
2014-12-07,
2014-12-14,4.0
2014-12-21,1.0
2014-12-28,
2015-01-04,
2015-01-11,
2015-01-18,
2015-01-25,
2015-02-01,4.0
2015-02-08,
2015-02-15,1.0
2015-02-22,
2015-03-01,2.0
2015-03-08,
2015-03-15,3.0
2015-03-22,1.0
2015-03-29,1.0
2015-04-05,1.0
2015-04-12,
2015-04-19,
2015-04-26,
2015-05-03,
2015-05-10,
2015-05-17,
2015-05-24,4.0
2015-05-31,1.0
2015-06-07,1.0
2015-06-14,
2015-06-21,1.0
2015-06-28,2.0
2015-07-05,4.0
2015-07-12,
2015-07-19,2.0
2015-07-26,4.0
2015-08-02,3.0
2015-08-09,
2015-08-16,
2015-08-23,1.0
2015-08-30,1.0
2015-09-06,
2015-09-13,
2015-09-20,
2015-09-27,2.0
2015-10-04,
2015-10-11,1.0
2015-10-18,2.0
2015-10-25,3.0
2015-11-01,
2015-11-08,2.0
2015-11-15,
2015-11-22,3.0
2015-11-29,
2015-12-06,
2015-12-13,3.0
2015-12-20,
2015-12-27,
2016-01-03,
2016-01-10,
2016-01-17,
2016-01-24,5.0
2016-01-31,
2016-02-07,
2016-02-14,
2016-02-21,
2016-02-28,1.0
2016-03-06,2.0
2016-03-13,
2016-03-20,
2016-03-27,3.0
2016-04-03,1.0
2016-04-10,1.0
2016-04-17,
2016-04-24,
2016-05-01,
2016-05-08,1.0
2016-05-15,2.0
2016-05-22,1.0
2016-05-29,2.0
2016-06-05,
2016-06-12,
2016-06-19,2.0
2016-06-26,
2016-07-03,3.0
2016-07-10,4.0
2016-07-17,2.0
2016-07-24,
2016-07-31,3.0
2016-08-07,3.0
2016-08-14,1.0
2016-08-21,
2016-08-28,2.0
2016-09-04,2.0
2016-09-11,1.0
2016-09-18,2.0
2016-09-25,
2016-10-02,1.0
2016-10-09,
2016-10-16,3.0
2016-10-23,1.0
2016-10-30,2.0
2016-11-06,2.0
2016-11-13,
2016-11-20,1.0
2016-11-27,4.0
2016-12-04,1.0
2016-12-11,
2016-12-18,5.0
2016-12-25,2.0
2017-01-01,
2017-01-08,
2017-01-15,
2017-01-22,4.0
2017-01-29,1.0
2017-02-05,
2017-02-12,1.0
2017-02-19,1.0
2017-02-26,3.0
2017-03-05,1.0
2017-03-12,
2017-03-19,2.0
2017-03-26,4.0
2017-04-02,1.0
2017-04-09,
2017-04-16,
2017-04-23,1.0
2017-04-30,1.0
2017-05-07,
2017-05-14,5.0
2017-05-21,1.0
2017-05-28,2.0
2017-06-04,1.0
2017-06-11,
2017-06-18,3.0
2017-06-25,1.0
2017-07-02,2.0
2017-07-09,2.0
2017-07-16,6.0
2017-07-23,1.0
2017-07-30,5.0
2017-08-06,1.0
2017-08-13,1.0
2017-08-20,1.0
2017-08-27,1.0
2017-09-03,2.0
2017-09-10,1.0
2017-09-17,
2017-09-24,2.0
2017-10-01,2.0
2017-10-08,1.0
2017-10-15,4.0
2017-10-22,1.0
2017-10-29,1.0
2017-11-05,4.0
2017-11-12,2.0
2017-11-19,
2017-11-26,2.0
2017-12-03,5.0
2017-12-10,3.0
2017-12-17,8.0
2017-12-24,4.0
2017-12-31,
2018-01-07,
2018-01-14,
2018-01-21,
2018-01-28,9.0
2018-02-04,
2018-02-11,2.0
2018-02-18,2.0
